"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Gesamt_Inzidenz"
2023,"3166","weiblich",82.81,8.71,NA,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",1.43666666666667,0.81,21.4,42.8,14.8733333333333,157.35
2024,"3166","männlich",32.92,NA,NA,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",NA,NA,NA,NA,NA,68.07
2024,"3166","weiblich",35.15,NA,NA,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",NA,NA,NA,NA,NA,68.07
2010,"131","männlich",14.99,7.5,897.4,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",-3.49333333333333,NA,59.3,73.7,15.7133333333333,35.73
2010,"131","weiblich",20.74,7.5,897.4,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",-3.49333333333333,NA,59.3,73.7,15.7133333333333,35.73
2011,"131","männlich",23.6,9.51,750.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.15,-3.49333333333333,46.4,112.9,15.58,49.43
2011,"131","weiblich",25.83,9.51,750.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.15,-3.49333333333333,46.4,112.9,15.58,49.43
2012,"131","männlich",13.85,9.03,NA,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",-0.553333333333333,1.15,48.8,80.75,16.01,31.43
2012,"131","weiblich",17.58,9.03,NA,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",-0.553333333333333,1.15,48.8,80.75,16.01,31.43
2013,"131","männlich",35,8.47,742.8,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.553333333333333,-0.553333333333333,149.75,109.466666666667,15.71,62.24
2013,"131","weiblich",27.24,8.47,742.8,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.553333333333333,-0.553333333333333,149.75,109.466666666667,15.71,62.24
2014,"131","männlich",43.28,10.19,641.9,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.52,0.553333333333333,96.3,85.4666666666667,15.7533333333333,86.95
2014,"131","weiblich",43.67,10.19,641.9,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.52,0.553333333333333,96.3,85.4666666666667,15.7533333333333,86.95
