"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","LandkreisID","Kreis","Bevölkerungsentwicklung","Bundesland","Inzidenz_log","Wintertemperatur","Sommertemperatur","Frühlingsniederschlag","Sommerniederschlag","Jahrestemperatur","Jahresniederschlag","Bevölkerung","Bevölkerung_Insg","Wintertemperatur_Vorjahr","Gesamt_Inzidenz"
2021,"3166","männlich",60,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.11087386417331,-0.56,14.28,108.75,144.6,7.13,999.7,160991,328850,2.14666666666667,161
2022,"3166","männlich",76,"14521","Erzgebirgskreis",-0.22,"Sachsen",4.34380542185368,0.81,15.5766666666667,37.55,46.9666666666667,8.48,671.3,160991,328850,-0.56,170
2011,"1684","männlich",89,"14626","Görlitz",-0.18,"Sachsen",4.49980967033027,0.726666666666667,16.32,41.15,91.4,9.62,617.9,122032,249681,2.14666666666667,200
2012,"1684","männlich",49,"14626","Görlitz",-0.18,"Sachsen",3.91202300542815,-1.13666666666667,16.63,83.1,103.2,9.12,802.5,122032,249681,0.726666666666667,125
2013,"1684","männlich",55,"14626","Görlitz",-0.18,"Sachsen",4.02535169073515,0.306666666666667,16.44,127.85,109.366666666667,8.71,699.3,122032,249681,-1.13666666666667,116
2014,"1684","männlich",45,"14626","Görlitz",-0.18,"Sachsen",3.8286413964891,2.41666666666667,16.37,95.75,101.666666666667,10.36,672.8,122032,249681,0.306666666666667,88
2015,"1684","männlich",19,"14626","Görlitz",-0.18,"Sachsen",2.99573227355399,3.02,16.3133333333333,45.65,44.4666666666667,10.32,515.7,122032,249681,2.41666666666667,45
2016,"1684","männlich",23,"14626","Görlitz",-0.18,"Sachsen",3.17805383034795,1.45333333333333,17.0866666666667,60.35,75.4333333333333,9.56,692.5,122032,249681,3.02,64
2017,"1684","männlich",42,"14626","Görlitz",-0.18,"Sachsen",3.76120011569356,0.256666666666667,17.0166666666667,45.5,64,9.57,683.4,122032,249681,1.45333333333333,74
2018,"1684","männlich",77,"14626","Görlitz",-0.18,"Sachsen",4.35670882668959,1.10666666666667,18.4666666666667,22.15,27.0666666666667,10.69,392,122032,249681,0.256666666666667,158
2019,"1684","männlich",79,"14626","Görlitz",-0.18,"Sachsen",4.38202663467388,2.44,17.4966666666667,63.8,57.3,10.76,524.5,122032,249681,1.10666666666667,180
2020,"1684","männlich",26,"14626","Görlitz",-0.18,"Sachsen",3.29583686600433,3.62666666666667,15.91,82.85,62.3333333333333,10.5,666.2,122032,249681,2.44,61
2021,"1684","männlich",20,"14626","Görlitz",-0.18,"Sachsen",3.04452243772342,0.423333333333333,16.9066666666667,72.95,101.9,9.17,676,122032,249681,3.62666666666667,42
2022,"1684","männlich",17,"14626","Görlitz",-0.18,"Sachsen",2.89037175789616,2.58333333333333,17.8066666666667,52.4,45.6333333333333,10.37,497.6,122032,249681,0.423333333333333,41
2023,"1684","männlich",20,"14626","Görlitz",-0.18,"Sachsen",3.04452243772342,3.2,17.0966666666667,41,40.5666666666667,10.79,761.1,122032,249681,2.58333333333333,41
2011,"2928","männlich",22,"14729","Leipzig",0.14,"Sachsen",3.13549421592915,2.29333333333333,16.62,41.3,71.3,10.22,613.6,127570,260429,3.62666666666667,52
2012,"2928","männlich",31,"14729","Leipzig",0.14,"Sachsen",3.46573590279973,0.51,16.8633333333333,64.75,70.3,9.85,553.7,127570,260429,2.29333333333333,64
2013,"2928","männlich",30,"14729","Leipzig",0.14,"Sachsen",3.43398720448515,1.44,16.63,135.05,105.166666666667,9.28,720.1,127570,260429,0.51,63
2014,"2928","männlich",23,"14729","Leipzig",0.14,"Sachsen",3.17805383034795,3.32333333333333,16.8466666666667,71.15,67.8,10.98,524.8,127570,260429,1.44,42
2015,"2928","männlich",27,"14729","Leipzig",0.14,"Sachsen",3.3322045101752,4.03333333333333,16.8233333333333,30.8,54.3666666666667,10.7,571.5,127570,260429,3.32333333333333,61
2016,"2928","männlich",29,"14729","Leipzig",0.14,"Sachsen",3.40119738166216,2.50333333333333,17.7133333333333,55.75,51.3666666666667,10.34,510.7,127570,260429,4.03333333333333,65
2017,"2928","männlich",21,"14729","Leipzig",0.14,"Sachsen",3.09104245335832,1.54333333333333,17.59,51.6,69.5333333333333,10.35,675,127570,260429,2.50333333333333,51
2018,"2928","männlich",29,"14729","Leipzig",0.14,"Sachsen",3.40119738166216,2.49333333333333,19.15,35.4,33.6,11.23,379.3,127570,260429,1.54333333333333,62
2019,"2928","männlich",33,"14729","Leipzig",0.14,"Sachsen",3.52636052461616,3.5,18.0866666666667,40.65,42.6333333333333,11.37,475.1,127570,260429,2.49333333333333,75
2020,"2928","männlich",14,"14729","Leipzig",0.14,"Sachsen",2.70805020110221,4.82,16.84,41.75,35.2333333333333,11.48,490.5,127570,260429,3.5,40
2021,"2928","männlich",21,"14729","Leipzig",0.14,"Sachsen",3.09104245335832,1.85,17.4666666666667,77.45,85.6333333333333,9.95,763,127570,260429,4.82,51
