"Meldejahr","STATIONS_ID","Geschlecht","Inzidenz","Jahrestemperatur","Jahresniederschlag","LandkreisID","Kreis","Bevölkerung_Insg","Bevölkerungsentwicklung","Bevölkerung","Bundesland","Wintertemperatur","Wintertemperatur_Vorjahr","Frühlingsniederschlag","Sommerniederschlag","Sommertemperatur","Inzidenz_log","Gesamt_Inzidenz"
2022,"3166","männlich",76,8.48,671.3,"14521","Erzgebirgskreis",328850,-0.22,160991,"Sachsen",0.81,-0.56,37.55,46.9666666666667,15.5766666666667,4.34380542185368,170
2022,"3166","weiblich",94,8.48,671.3,"14521","Erzgebirgskreis",328850,-0.22,167859,"Sachsen",0.81,-0.56,37.55,46.9666666666667,15.5766666666667,4.55387689160054,170
2011,"131","männlich",24,9.51,750.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.15,-3.49333333333333,46.4,112.9,15.58,3.2188758248682,50
2011,"131","weiblich",26,9.51,750.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.15,-3.49333333333333,46.4,112.9,15.58,3.29583686600433,50
2013,"131","männlich",35,8.47,742.8,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.553333333333333,-0.553333333333333,149.75,109.466666666667,15.71,3.58351893845611,62
2013,"131","weiblich",27,8.47,742.8,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.553333333333333,-0.553333333333333,149.75,109.466666666667,15.71,3.3322045101752,62
2014,"131","männlich",43,10.19,641.9,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.52,0.553333333333333,96.3,85.4666666666667,15.7533333333333,3.78418963391826,87
2014,"131","weiblich",44,10.19,641.9,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.52,0.553333333333333,96.3,85.4666666666667,15.7533333333333,3.80666248977032,87
2015,"131","männlich",31,9.91,626.4,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",3.12333333333333,2.52,43.7,53.5,15.7866666666667,3.46573590279973,71
2015,"131","weiblich",40,9.91,626.4,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",3.12333333333333,2.52,43.7,53.5,15.7866666666667,3.71357206670431,71
2016,"131","männlich",68,9.42,687.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.77333333333333,3.12333333333333,58.4,55.7666666666667,16.66,4.23410650459726,152
2016,"131","weiblich",84,9.42,687.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.77333333333333,3.12333333333333,58.4,55.7666666666667,16.66,4.44265125649032,152
2017,"131","männlich",56,9.5,709.1,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.59,1.77333333333333,37.45,50.7333333333333,16.7433333333333,4.04305126783455,128
2017,"131","weiblich",72,9.5,709.1,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.59,1.77333333333333,37.45,50.7333333333333,16.7433333333333,4.29045944114839,128
2018,"131","männlich",58,10.41,432.2,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",1.52666666666667,0.59,25.75,25.5666666666667,17.9166666666667,4.07753744390572,139
2018,"131","weiblich",81,10.41,432.2,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",1.52666666666667,0.59,25.75,25.5666666666667,17.9166666666667,4.40671924726425,139
2019,"131","männlich",84,10.46,629,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.63,1.52666666666667,49.3,41.1666666666667,16.85,4.44265125649032,200
2019,"131","weiblich",116,10.46,629,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.63,1.52666666666667,49.3,41.1666666666667,16.85,4.76217393479776,200
2020,"131","männlich",70,10.5,678.4,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",3.97666666666667,2.63,62.15,50.8,15.6033333333333,4.26267987704132,153
2020,"131","weiblich",83,10.5,678.4,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",3.97666666666667,2.63,62.15,50.8,15.6033333333333,4.43081679884331,153
2021,"131","männlich",60,8.91,896,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",0.93,3.97666666666667,99.55,97.0666666666667,16.21,4.11087386417331,161
2021,"131","weiblich",101,8.91,896,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",0.93,3.97666666666667,99.55,97.0666666666667,16.21,4.62497281328427,161
2022,"131","männlich",76,10.43,593.7,"14522","Mittelsachsen",300639,-0.17,149223,"Sachsen",2.76666666666667,0.93,22.7,32.7333333333333,17.5633333333333,4.34380542185368,170
2022,"131","weiblich",94,10.43,593.7,"14522","Mittelsachsen",300639,-0.17,151416,"Sachsen",2.76666666666667,0.93,22.7,32.7333333333333,17.5633333333333,4.55387689160054,170
2011,"3946","männlich",18,9.03,580.1,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.586666666666667,-3.57333333333333,54.6,77.0666666666667,15.3066666666667,2.94443897916644,43
2011,"3946","weiblich",25,9.03,580.1,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.586666666666667,-3.57333333333333,54.6,77.0666666666667,15.3066666666667,3.25809653802148,43
2013,"3946","männlich",15,8.12,647.7,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.13,-0.95,131.7,99.7333333333333,15.42,2.77258872223978,41
2013,"3946","weiblich",26,8.12,647.7,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.13,-0.95,131.7,99.7333333333333,15.42,3.29583686600433,41
2014,"3946","männlich",33,9.77,547.5,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.29333333333333,0.13,43,67.9666666666667,15.6333333333333,3.52636052461616,87
2014,"3946","weiblich",54,9.77,547.5,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.29333333333333,0.13,43,67.9666666666667,15.6333333333333,4.00733318523247,87
2015,"3946","männlich",54,9.65,457.8,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.57333333333333,2.29333333333333,41.2,41,16.0333333333333,4.00733318523247,120
2015,"3946","weiblich",66,9.65,457.8,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.57333333333333,2.29333333333333,41.2,41,16.0333333333333,4.20469261939097,120
2016,"3946","männlich",77,9,644.5,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",1.33666666666667,2.57333333333333,82.6,84.3,16.2433333333333,4.35670882668959,191
2016,"3946","weiblich",114,9,644.5,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",1.33666666666667,2.57333333333333,82.6,84.3,16.2433333333333,4.74493212836325,191
2017,"3946","männlich",73,9.05,686.2,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.0633333333333333,1.33666666666667,65.6,78.6666666666667,16.6066666666667,4.30406509320417,174
2017,"3946","weiblich",101,9.05,686.2,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.0633333333333333,1.33666666666667,65.6,78.6666666666667,16.6066666666667,4.62497281328427,174
2019,"3946","männlich",114,9.73,500.8,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",1.78333333333333,1.01666666666667,38,39.9333333333333,16.46,4.74493212836325,263
2019,"3946","weiblich",149,9.73,500.8,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",1.78333333333333,1.01666666666667,38,39.9333333333333,16.46,5.01063529409626,263
2020,"3946","männlich",65,9.63,614.6,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",3.11,1.78333333333333,104.2,79.2,14.86,4.18965474202643,183
2020,"3946","weiblich",118,9.63,614.6,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",3.11,1.78333333333333,104.2,79.2,14.86,4.77912349311153,183
2021,"3946","männlich",89,8.46,698.2,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",0.5,3.11,68.9,94.7333333333333,15.85,4.49980967033027,218
2021,"3946","weiblich",129,8.46,698.2,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",0.5,3.11,68.9,94.7333333333333,15.85,4.86753445045558,218
2022,"3946","männlich",75,9.93,484.4,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.20666666666667,0.5,13.45,25.5,17.5366666666667,4.33073334028633,198
2022,"3946","weiblich",123,9.93,484.4,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.20666666666667,0.5,13.45,25.5,17.5366666666667,4.82028156560504,198
2023,"3946","männlich",71,10.04,638.4,"14523","Vogtlandkreis",222666,-0.2,108488,"Sachsen",2.75333333333333,2.20666666666667,43.5,53.1333333333333,16.3266666666667,4.27666611901606,188
2023,"3946","weiblich",117,10.04,638.4,"14523","Vogtlandkreis",222666,-0.2,114178,"Sachsen",2.75333333333333,2.20666666666667,43.5,53.1333333333333,16.3266666666667,4.77068462446567,188
2011,"222","männlich",14,9.16,729.8,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.09333333333333,-3.32,63.85,95.5,15.1733333333333,2.70805020110221,36
2011,"222","weiblich",22,9.16,729.8,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.09333333333333,-3.32,63.85,95.5,15.1733333333333,3.13549421592915,36
2012,"222","männlich",5,8.67,844.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",-0.696666666666667,1.09333333333333,80.2,84.3,15.85,1.79175946922805,25
2012,"222","weiblich",20,8.67,844.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",-0.696666666666667,1.09333333333333,80.2,84.3,15.85,3.04452243772342,25
2013,"222","männlich",6,8.22,985.4,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.56,-0.696666666666667,189.1,139.6,15.25,1.94591014905531,29
2013,"222","weiblich",23,8.22,985.4,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.56,-0.696666666666667,189.1,139.6,15.25,3.17805383034795,29
2014,"222","männlich",17,9.98,744.8,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.88333333333333,0.56,89.5,112.1,15.3866666666667,2.89037175789616,32
2014,"222","weiblich",15,9.98,744.8,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.88333333333333,0.56,89.5,112.1,15.3866666666667,2.77258872223978,32
2015,"222","männlich",20,9.7,766.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.94333333333333,2.88333333333333,53.8,72.2333333333333,15.8566666666667,3.04452243772342,44
2015,"222","weiblich",24,9.7,766.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.94333333333333,2.88333333333333,53.8,72.2333333333333,15.8566666666667,3.2188758248682,44
2016,"222","männlich",29,9.13,877.2,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.82666666666667,2.94333333333333,109.05,111.166666666667,16.08,3.40119738166216,63
2016,"222","weiblich",34,9.13,877.2,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.82666666666667,2.94333333333333,109.05,111.166666666667,16.08,3.55534806148941,63
2017,"222","männlich",25,9.16,909.2,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.506666666666667,1.82666666666667,60.65,76.8333333333333,16.4933333333333,3.25809653802148,59
2017,"222","weiblich",34,9.16,909.2,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.506666666666667,1.82666666666667,60.65,76.8333333333333,16.4933333333333,3.55534806148941,59
2018,"222","männlich",27,9.99,649,"14524","Zwickau",310838,-0.19,151813,"Sachsen",1.23333333333333,0.506666666666667,76.05,56.9,17.22,3.3322045101752,51
2018,"222","weiblich",24,9.99,649,"14524","Zwickau",310838,-0.19,159025,"Sachsen",1.23333333333333,0.506666666666667,76.05,56.9,17.22,3.2188758248682,51
2019,"222","männlich",34,9.98,749.9,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.19,1.23333333333333,58.8,59.6333333333333,16.4,3.55534806148941,79
2019,"222","weiblich",45,9.98,749.9,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.19,1.23333333333333,58.8,59.6333333333333,16.4,3.8286413964891,79
2020,"222","männlich",31,9.99,756.9,"14524","Zwickau",310838,-0.19,151813,"Sachsen",3.79666666666667,2.19,91.35,73.6,14.93,3.46573590279973,88
2020,"222","weiblich",57,9.99,756.9,"14524","Zwickau",310838,-0.19,159025,"Sachsen",3.79666666666667,2.19,91.35,73.6,14.93,4.06044301054642,88
2021,"222","männlich",55,8.5,936.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",0.986666666666667,3.79666666666667,105.75,127.966666666667,15.67,4.02535169073515,110
2021,"222","weiblich",55,8.5,936.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",0.986666666666667,3.79666666666667,105.75,127.966666666667,15.67,4.02535169073515,110
2022,"222","männlich",29,9.87,774.6,"14524","Zwickau",310838,-0.19,151813,"Sachsen",2.57333333333333,0.986666666666667,42.35,45.9333333333333,17.04,3.40119738166216,80
2022,"222","weiblich",51,9.87,774.6,"14524","Zwickau",310838,-0.19,159025,"Sachsen",2.57333333333333,0.986666666666667,42.35,45.9333333333333,17.04,3.95124371858143,80
2023,"222","männlich",41,10.29,894.1,"14524","Zwickau",310838,-0.19,151813,"Sachsen",3.17666666666667,2.57333333333333,52.9,55,16.36,3.73766961828337,101
2023,"222","weiblich",60,10.29,894.1,"14524","Zwickau",310838,-0.19,159025,"Sachsen",3.17666666666667,2.57333333333333,52.9,55,16.36,4.11087386417331,101
2011,"1050","männlich",104,10.56,669.7,"14625","Bautzen",297711,-0.17,146982,"Sachsen",2.29333333333333,-2.15666666666667,53.3,111.033333333333,16.92,4.65396035015752,263
2011,"1050","weiblich",159,10.56,669.7,"14625","Bautzen",297711,-0.17,150729,"Sachsen",2.29333333333333,-2.15666666666667,53.3,111.033333333333,16.92,5.07517381523383,263
2012,"1050","männlich",47,10.13,670.8,"14625","Bautzen",297711,-0.17,146982,"Sachsen",0.523333333333333,2.29333333333333,59.35,78.2666666666667,17.4933333333333,3.87120101090789,115
2012,"1050","weiblich",68,10.13,670.8,"14625","Bautzen",297711,-0.17,150729,"Sachsen",0.523333333333333,2.29333333333333,59.35,78.2666666666667,17.4933333333333,4.23410650459726,115
2014,"1050","männlich",80,11.47,568.9,"14625","Bautzen",297711,-0.17,146982,"Sachsen",3.78,1.62666666666667,60.85,76.1,17.3333333333333,4.39444915467244,207
2014,"1050","weiblich",127,11.47,568.9,"14625","Bautzen",297711,-0.17,150729,"Sachsen",3.78,1.62666666666667,60.85,76.1,17.3333333333333,4.85203026391962,207
2015,"1050","männlich",86,11.38,620.4,"14625","Bautzen",297711,-0.17,146982,"Sachsen",4.43666666666667,3.78,51.5,48,17.4033333333333,4.46590811865458,198
2015,"1050","weiblich",112,11.38,620.4,"14625","Bautzen",297711,-0.17,150729,"Sachsen",4.43666666666667,3.78,51.5,48,17.4033333333333,4.72738781871234,198
2016,"1050","männlich",115,10.61,685.9,"14625","Bautzen",297711,-0.17,146982,"Sachsen",2.92,4.43666666666667,78.7,81.5333333333333,17.8833333333333,4.75359019110636,305
